date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:59	89429/89429	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20May%202024%2003:11:43%20GMT	https://templates.hibootstrap.com/sanu/default/index-2.html	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/index-2.html	(from )
15:46:00	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202024%2012:46:00%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
15:46:00	232753/232753	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-38d31%22	https://templates.hibootstrap.com/sanu/default/assets/css/bootstrap.min.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:00	2612/2612	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-a34%22	https://templates.hibootstrap.com/sanu/default/assets/css/meanmenu.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/meanmenu.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:00	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-d17%22	https://templates.hibootstrap.com/sanu/default/assets/css/owl.carousel.min.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:00	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-3f5%22	https://templates.hibootstrap.com/sanu/default/assets/css/owl.theme.default.min.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/owl.theme.default.min.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:01	5076/5076	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-13d4%22	https://templates.hibootstrap.com/sanu/default/assets/css/magnific-popup.min.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/magnific-popup.min.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:01	3172/3172	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-c64%22	https://templates.hibootstrap.com/sanu/default/assets/css/flaticon.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/flaticon.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:01	138815/138815	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-21e3f%22	https://templates.hibootstrap.com/sanu/default/assets/css/remixicon.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/remixicon.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
15:46:01	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%2266496def-c2c%22	https://templates.hibootstrap.com/sanu/default/assets/css/odometer.min.css	C:/Users/GLEN/OneDrive/Documents/CLIENTS/apleti/Apleti%20page/templates.hibootstrap.com/sanu/default/assets/css/odometer.min.css	(from https://templates.hibootstrap.com/sanu/default/index-2.html)
